judul_resep,waktu_masak,tingkat_kesulitan,jumlah_porsi,url_sumber,bahan-bahan,cluster_label,cluster_persona
"Resep Ayam Betutu Pedas Khas Gilimanuk, Bali",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-betutu/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun jeruk', 'gula merah', 'jeruk nipis', 'garam', 'serai', 'jahe', 'lengkuas', 'ketumbar', 'kunyit']",0,Masakan Rumit Tradisional
Resep Ikan Goreng Tepung Gurih dan Renyah dengan Sambal Matah,1jam,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-ikan-goreng-tepung-sambal-matah/,"['bawang merah', 'cabai rawit', 'daun jeruk', 'jeruk nipis', 'garam', 'merica', 'serai', 'ikan', 'jamur']",3,Masakan Cepat dan Praktis
"Resep Ayam Suwir Kemangi Pedas, Simple dan Irit Minyak",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-suwir-kemangi-pedas-lauk-irit-minyak-yang-cocok-untuk-diet/,"['bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun salam', 'gula merah', 'garam', 'serai', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'kemangi']",2,Masakan Rumahan Sehari-Hari
"Resep Sop Kambing Bening Sederhana, Empuk dan Tidak Bau",2jam,Sedang,6 Porsi,https://www.masakapahariini.com/resep/resep-sop-kambing-berempah-bebas-bau-untuk-idul-adha/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'daun salam', 'daun bawang', 'kaldu sapi', 'kayu manis', 'daging kambing', 'limau', 'bawang', 'garam', 'merica', 'jahe', 'lengkuas', 'tomat', 'kunyit', 'seledri', 'wortel', 'cengkih']",0,Masakan Rumit Tradisional
"Resep Sop Daging Sapi Bumbu Rempah, Gurih dan Sedap",1j 30mnt,Mudah,5 Porsi,https://www.masakapahariini.com/resep/resep-sop-daging-sapi-bumbu-rempah/,"['bawang putih', 'bawang merah', 'daun bawang', 'kaldu sapi', 'daging sapi', 'kayu manis', 'bawang', 'garam', 'merica', 'jahe', 'kemiri', 'seledri', 'wortel']",2,Masakan Rumahan Sehari-Hari
Resep Tumis Pare Teri Sederhana dan Tidak Pahit,30mnt,Mudah,2 Porsi,https://www.masakapahariini.com/resep/resep-tumis-pare-teri-khas-sunda/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'cabai rawit', 'daun salam', 'gula pasir', 'cabai hijau', 'garam', 'lengkuas']",3,Masakan Cepat dan Praktis
Resep Tumis Sawi Hijau Sederhana dengan Ayam yang Lezat,30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tumis-sawi-hijau-dan-ayam/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'bawang', 'garam', 'merica', 'tomat']",3,Masakan Cepat dan Praktis
"Resep Tumis Pepaya Muda, Sederhana dan Enak",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tumis-pepaya-muda-sederhana-dan-enak/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun salam', 'garam', 'lengkuas', 'kemiri']",2,Masakan Rumahan Sehari-Hari
"Resep Ayam Goreng Padang Asli, Garing dan Enak",45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-goreng-lengkuas-padang/,"['bawang putih', 'kaldu ayam', 'daun salam', 'daun jeruk', 'garam', 'merica', 'serai', 'jahe', 'lengkuas', 'kemiri', 'ketumbar', 'kunyit']",2,Masakan Rumahan Sehari-Hari
"Resep Bakso Ikan Tenggiri Kuah Kecap, Spesial untuk Keluarga",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-bakso-ikan-tenggiri/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'gula pasir', 'garam', 'merica', 'tomat', 'telur', 'kacang', 'ikan', 'seledri', 'udang']",0,Masakan Rumit Tradisional
"Resep Semur Tempe Sederhana, Gurih dan Mudah Dibuat",30mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-semur-tempe-rawit-kemangi/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'daun salam', 'garam', 'ketumbar', 'tomat', 'kacang', 'tempe', 'kemangi']",3,Masakan Cepat dan Praktis
Resep Semur Ayam Kecap Mudah yang Nikmat dan Praktis,40mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/semur-ayam-kecap/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'garam', 'serai', 'jahe']",3,Masakan Cepat dan Praktis
"Resep Sate Padang Sederhana, Gurih dan Asli Enaknya!",1jam,Sedang,3 Porsi,https://www.masakapahariini.com/resep/resep-sate-padang/,"['bawang putih', 'bawang merah', 'cabai rawit', 'daun jeruk', 'kaldu sapi', 'daging sapi', 'bawang', 'garam', 'merica', 'serai', 'jahe', 'lengkuas', 'kunyit']",0,Masakan Rumit Tradisional
Resep Sayur Lodeh Jawa Kuah Santan yang Simple,50mnt,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-sayur-lodeh-jawa/,"['kaldu ayam', 'daun salam', 'lengkuas', 'santan', 'kacang', 'tahu']",0,Masakan Rumit Tradisional
"Resep Sate Ayam Madura Asli, Enak dan Mudah Dibuat",2jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-sate-ayam-bumbu-kacang/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'gula merah', 'bawang', 'kemiri', 'kacang']",2,Masakan Rumahan Sehari-Hari
Resep Tumis Labu Siam Spesial dengan Daging Cincang,45mnt,Mudah,5 Porsi,https://www.masakapahariini.com/resep/resep-tumis-labu-siam-daging-cincang/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daun salam', 'kaldu sapi', 'daging sapi', 'garam', 'lengkuas']",2,Masakan Rumahan Sehari-Hari
Resep Nasi Goreng Kencur Khas Sunda Untuk Masakan Sehari-hari,40mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-nasi-goreng-kencur/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'cabai rawit', 'daun bawang', 'daging ayam', 'garam', 'merica', 'kemiri', 'telur', 'kencur']",3,Masakan Cepat dan Praktis
Resep Nasi Goreng Mawut Lezat a la Kaki Lima,30mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-nasi-goreng-mawut/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'daun bawang', 'bawang', 'garam', 'kemiri', 'telur', 'kol']",3,Masakan Cepat dan Praktis
"Resep Lontong Kari Khas Bandung, Enak dan Gurih",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-lontong-kari-sapi/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'kaldu sapi', 'daging sapi', 'asam jawa', 'kayu manis', 'bawang', 'garam', 'merica', 'serai', 'jahe', 'kemiri', 'ketumbar', 'santan']",0,Masakan Rumit Tradisional
"Resep Tempe Bacem Tanpa Air Kelapa, Praktis dan Murah Meriah",1jam,Mudah,5 Porsi,https://www.masakapahariini.com/resep/tempe-bacem-tanpa-air-kelapa/,"['bawang putih', 'bawang merah', 'kecap manis', 'daun salam', 'gula merah', 'asam jawa', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'tempe', 'jamur']",2,Masakan Rumahan Sehari-Hari
"Resep Tumis Daun Pepaya Sederhana, Enak dan Mudah",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/tumis-daun-pepaya/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun jeruk', 'asam jawa', 'garam', 'lengkuas']",0,Masakan Rumit Tradisional
Resep Tumis Bunga Pepaya Khas Manado yang Gurih dan Tidak Pahit,1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tumis-bunga-pepaya/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'gula pasir', 'garam', 'merica', 'serai']",2,Masakan Rumahan Sehari-Hari
"Resep Sate Goreng Daging Sapi Tanpa Arang, Empuk dan Medok Bumbunya",1jam,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-sate-goreng-daging-sapi-tanpa-arang-empuk-dan-medok-bumbunya/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'kaldu sapi', 'daging sapi', 'gula merah', 'garam', 'jahe', 'kemiri', 'ketumbar', 'tomat']",2,Masakan Rumahan Sehari-Hari
Resep Plecing Kangkung Sederhana Khas Lombok yang Enak dan Menyegarkan,30mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-plecing-kangkung/,"['cabai rawit', 'limau', 'tomat', 'kacang', 'jamur']",3,Masakan Cepat dan Praktis
"Resep Semur Jengkol Sederhana a la Rumahan, Empuk dan Tidak Bau",40mnt,Sedang,8 Porsi,https://www.masakapahariini.com/resep/resep-semur-jengkol-pedas/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daun salam', 'garam', 'merica', 'serai', 'lengkuas']",1,Masakan Porsi Besar untuk Banyak Orang
"Resep Gurame Cobek Pedas, Sedap dan Bebas Bau Lumpur",1jam,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-gurame-cobek-pedas-sedap-dan-bebas-bau-lumpur/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai rawit', 'jeruk nipis', 'limau', 'garam', 'jahe', 'ketumbar', 'ikan', 'kencur']",3,Masakan Cepat dan Praktis
Resep Sambal Goreng Kentang Ati Ampela Petai Enak dan Sederhana,1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-sambal-kentang-ampela-petai/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'asam jawa', 'garam', 'lengkuas', 'kemiri']",2,Masakan Rumahan Sehari-Hari
Resep Tumis Daun Singkong Teri Sedap dan Warnanya Tetap Cerah,1jam,Mudah,5 Porsi,https://www.masakapahariini.com/resep/resep-tumis-daun-singkong-teri/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun salam', 'garam', 'lengkuas']",2,Masakan Rumahan Sehari-Hari
"Resep Opor Ayam Kuning Spesial, Kuahnya Gurih dan Medok Bumbu",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-opor-ayam-kuning-spesial/,"['bawang putih', 'bawang merah', 'kecap manis', 'daun salam', 'daun jeruk', 'gula pasir', 'garam', 'merica', 'serai', 'jahe', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'kunyit', 'kencur']",2,Masakan Rumahan Sehari-Hari
"Resep Lontong Balap Surabaya Sederhana, Enak, dan Gurih",1jam,Cukup Rumit,3 Porsi,https://www.masakapahariini.com/resep/resep-lontong-balap-khas-surabaya/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'daun jeruk', 'daun bawang', 'kaldu sapi', 'daging sapi', 'garam', 'merica', 'telur', 'kacang', 'tahu', 'kencur', 'udang']",0,Masakan Rumit Tradisional
"Resep Ayam Rica Rica Pedas Gurih, Sederhana dan Mudah Dibuat",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-rica-pedas-manis/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'daging ayam', 'gula merah', 'jeruk nipis', 'serai', 'jahe', 'lengkuas', 'tomat']",2,Masakan Rumahan Sehari-Hari
Resep Tahu Bakso Kukus Sederhana Untuk Ide Jualan,1jam,Mudah,6 Porsi,https://www.masakapahariini.com/resep/resep-tahu-bakso-ungaran/,"['bawang putih', 'kecap manis', 'gula pasir', 'daun bawang', 'garam', 'merica', 'telur', 'tahu']",3,Masakan Cepat dan Praktis
Resep Ayam Bumbu Rujak Pedas Manis yang Bikin Nagih,1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-bumbu-rujak-pedas-manis-dan-bikin-nagih/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'gula merah', 'jeruk nipis', 'asam jawa', 'garam', 'merica', 'serai', 'kemiri', 'santan']",2,Masakan Rumahan Sehari-Hari
Resep Bakso Bakar Khas Malang Untuk Ide Jualan,1jam,Mudah,6 Porsi,https://www.masakapahariini.com/resep/resep-bakso-bakar/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'cabai rawit', 'kaldu sapi', 'ketumbar']",3,Masakan Cepat dan Praktis
"Resep Bakso Goreng Ayam Udang, Gurih dan Anti Gagal",1jam,Sedang,6 Porsi,https://www.masakapahariini.com/resep/resep-bakso-goreng-ayam-udang/,"['bawang putih', 'kaldu ayam', 'daging ayam', 'garam', 'merica', 'telur', 'wijen', 'udang']",0,Masakan Rumit Tradisional
"Resep Ayam Goreng Kalasan Sedap, Gurih, dan Bikin Nagih",1jam,Sedang,4 Porsi,https://www.masakapahariini.com/resep/resep-ayam-goreng-kalasan-sedap-gurih/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun salam', 'daun jeruk', 'gula merah', 'kayu manis', 'limau', 'garam', 'serai', 'lengkuas', 'kemiri', 'ketumbar', 'kemangi', 'cengkih']",0,Masakan Rumit Tradisional
"Resep Bobor Bayam Jagung Manis, Sehat, Praktis, dan Lezat",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-bobor-bayam-jagung-manis/,"['bawang putih', 'bawang merah', 'daun salam', 'gula pasir', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'wortel', 'jamur', 'kencur', 'jagung']",2,Masakan Rumahan Sehari-Hari
"Resep Semur Daging Sapi Sederhana a la Kecap Bango, Empuk dan Meresap",50mnt,Mudah,6 Porsi,https://www.masakapahariini.com/resep/resep-semur-daging-sapi-kecap-bango/,"['bawang putih', 'bawang merah', 'kecap manis', 'daun salam', 'kaldu sapi', 'daging sapi', 'garam', 'jahe', 'kemiri', 'tomat']",2,Masakan Rumahan Sehari-Hari
"Resep Sate Ambal Khas Kebumen, Warisan Kuliner Nusantara Wajib Coba",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-sate-ambal-khas-kebumen/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'garam', 'merica', 'jahe', 'kemiri', 'ketumbar', 'kunyit', 'tempe']",2,Masakan Rumahan Sehari-Hari
Resep Telur Dadar Padang Tebal a la Rumahan,45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-telur-dadar-padang/,"['bawang merah', 'kaldu ayam', 'cabai merah', 'daun jeruk', 'bawang', 'merica', 'tomat', 'telur', 'kunyit', 'seledri']",3,Masakan Cepat dan Praktis
Resep Tempe Orek Kering Sederhana dan Garing Tahan Lama,15mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tempe-orek-kering-pedas-manis/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'daun salam', 'gula merah', 'garam', 'tempe']",3,Masakan Cepat dan Praktis
3 Resep Wedang Jahe yang Bikin Sehat dan Hangatkan Badan,40mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/variasi-resep-wedang-jahe/,"['gula merah', 'jahe']",3,Masakan Cepat dan Praktis
Resep Tahu Gimbal Khas Semarang yang Bikin Lidah Happy,1j 30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tahu-gimbal-khas-semarang/,"['bawang putih', 'kecap manis', 'kaldu ayam', 'garam', 'ketumbar', 'telur', 'seledri', 'tahu', 'kol', 'udang']",3,Masakan Cepat dan Praktis
Resep Ikan Asam Manis Seenak Masakan Restoran,1j 30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ikan-asam-manis/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'cabai merah', 'daun jeruk', 'jeruk nipis', 'garam', 'merica', 'serai', 'jahe', 'lengkuas', 'kemiri', 'kunyit', 'ikan']",2,Masakan Rumahan Sehari-Hari
"Resep Nasi Goreng Merah Khas Makassar, Lezat dan Mudah Dibuat",30mnt,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-nasi-goreng-merah/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun bawang', 'telur', 'wijen']",3,Masakan Cepat dan Praktis
Resep Tumis Kangkung Terasi Enak a la Restoran yang Mudah Dibuat,25mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tumis-kangkung-terasi-sederhana/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'garam']",3,Masakan Cepat dan Praktis
"Resep Ayam Lengkuas Sederhana, Gurih dan Bumbunya Meresap",1j 15mnt,Mudah,8 Porsi,https://www.masakapahariini.com/resep/resep-ayam-goreng-lengkuas/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'daun salam', 'gula pasir', 'daging ayam', 'asam jawa', 'garam', 'serai', 'lengkuas', 'kemiri', 'ketumbar', 'kunyit']",1,Masakan Porsi Besar untuk Banyak Orang
"Resep Ikan Patin Goreng Balado, Gurih dan Pedas",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ikan-patin-goreng-balado-gurih-dan-pedas/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'jeruk nipis', 'garam', 'ketumbar', 'ikan']",3,Masakan Cepat dan Praktis
Resep Lodeh Nangka Empuk dan Kuahnya Gurih,1jam,Mudah,6 Porsi,https://www.masakapahariini.com/resep/resep-lodeh-nangka-empuk-dan-kuahnya-gurih/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun salam', 'gula merah', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'tahu', 'kencur']",2,Masakan Rumahan Sehari-Hari
"Resep Malbi, Semur Khas Tanjung Pinang yang Sedap dan Kaya Rempah",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-semur-malbi/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'daun salam', 'daging sapi', 'asam jawa', 'merica', 'serai', 'jahe', 'lengkuas', 'santan']",2,Masakan Rumahan Sehari-Hari
"Resep Sate Taichan, Pedas Gurih dan Bikin Ketagihan",1jam,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-sate-taichan/,"['bawang putih', 'kaldu ayam', 'cabai rawit', 'jeruk nipis', 'limau', 'garam', 'merica']",3,Masakan Cepat dan Praktis
Resep Lodeh Tewel Nangka Kacang Panjang Khas Jawa Timur,1j 15mnt,Mudah,6 Porsi,https://www.masakapahariini.com/resep/resep-lodeh-tewel-khas-jawa-timur/,"['bawang putih', 'bawang merah', 'cabai merah', 'cabai rawit', 'daun salam', 'kaldu sapi', 'daging sapi', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'santan', 'kacang', 'kencur']",2,Masakan Rumahan Sehari-Hari
"Resep Ikan Tongkol Masak Cabai Hijau, Wangi dan Enak",40mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-ikan-tongkol-goreng-cabai-hijau/,"['bawang putih', 'bawang merah', 'kecap manis', 'kaldu ayam', 'daun salam', 'daun jeruk', 'cabai hijau', 'merica', 'jahe', 'lengkuas', 'tomat', 'ikan']",2,Masakan Rumahan Sehari-Hari
"Resep Sate Lilit, Menu Favorit Khas Pulau Bali",1jam,Sedang,3 Porsi,https://www.masakapahariini.com/resep/resep-sate-lilit/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'daun jeruk', 'gula pasir', 'serai', 'jahe', 'kemiri', 'santan', 'kunyit', 'ikan', 'kencur']",0,Masakan Rumit Tradisional
"Resep Tongkol Balado Hijau, Pedas Nagih dan Anti Amis",1jam,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tongkol-balado-hijau/,"['bawang putih', 'bawang merah', 'cabai rawit', 'daun jeruk', 'jeruk nipis', 'cabai hijau', 'garam', 'serai', 'tomat', 'jamur']",2,Masakan Rumahan Sehari-Hari
Resep Ati Ampela Balado Empuk dan Pedas,1jam,Mudah,5 Porsi,https://www.masakapahariini.com/resep/resep-ati-ampela-balado-empuk-dan-pedas/,"['bawang putih', 'bawang merah', 'kaldu ayam', 'cabai merah', 'cabai rawit', 'daun jeruk', 'garam', 'serai', 'jahe', 'kemiri', 'tomat']",2,Masakan Rumahan Sehari-Hari
"Resep Tempe Bacem Spesial, Enak dan Gurih",45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/cara-membuat-tempe-bacem/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'daun salam', 'gula merah', 'garam', 'lengkuas', 'kemiri', 'ketumbar', 'tempe']",2,Masakan Rumahan Sehari-Hari
"Resep Tahu Petis Semarang, Rasa Mantap Paduan Manis dan Gurih",30mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/resep-tahu-petis/,"['bawang putih', 'kecap manis', 'kaldu ayam', 'cabai rawit', 'tahu', 'udang']",3,Masakan Cepat dan Praktis
"Cara Membuat Gulai Sapi Santan Spesial, Enak dan Empuk",1jam,Mudah,3 Porsi,https://www.masakapahariini.com/resep/resep-gulai-sapi-lemak/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daging sapi', 'gula merah', 'garam', 'kemiri', 'ketumbar', 'santan', 'kunyit']",2,Masakan Rumahan Sehari-Hari
Resep Sambal Goreng Kentang Enak Untuk Masakan Sehari-hari,45mnt,Mudah,4 Porsi,https://www.masakapahariini.com/resep/cara-membuat-sambal-goreng-kentang/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai merah', 'daun salam', 'daun jeruk', 'garam', 'serai', 'jahe', 'lengkuas', 'santan']",2,Masakan Rumahan Sehari-Hari
"Resep Tahu Gejrot Khas Cirebon, Enak, Gurih, dan Pedas",45mnt,Mudah,2 Porsi,https://www.masakapahariini.com/resep/resep-tahu-gejrot/,"['bawang putih', 'bawang merah', 'kecap manis', 'cabai rawit', 'gula merah', 'asam jawa', 'garam', 'tahu']",3,Masakan Cepat dan Praktis
